,Model,Average Loss,Average Precision,Average Recall
0,Single_Layer_2,1.6236470937728882,0.621654599905014,0.5095250010490417
1,Single_Layer_3,1.7332980334758759,0.6057023257017136,0.5031750053167343
2,Single_Layer_4,1.8524243831634521,0.6006707549095154,0.5063000023365021
3,Single_Layer_5,1.7462575137615204,0.6001052111387253,0.45500000566244125
4,Single_Layer_6,1.623339831829071,0.6069866865873337,0.43450000137090683
5,Double_Layer_2,1.1363968551158905,0.7175715118646622,0.639849990606308
6,Double_Layer_3,1.128317877650261,0.7229507565498352,0.643875002861023
7,Double_Layer_4,1.1302845180034637,0.7249569147825241,0.633774995803833
8,Double_Layer_5,1.212152123451233,0.6993790864944458,0.5935749858617783
9,Double_Layer_6,1.232857584953308,0.6925913244485855,0.5815000012516975
0,Triple_Layer_2,0.8388171494007111,0.7852783203125,0.6743749976158142
0,Triple_Layer_3,0.8914740830659866,0.7718789726495743,0.6681249886751175
0,Triple_Layer_4,0.9299564808607101,0.7671086937189102,0.6543999910354614
0,Triple_Layer_5,1.0087461322546005,0.7535607218742371,0.6165999919176102
0,Triple_Layer_6,1.0544635206460953,0.7412827610969543,0.603424996137619
