,Model,Average Loss,Average Precision,Average Recall
0,Single_Layer_2,1.7687037885189056,0.5716267377138138,0.3617750033736229
1,Single_Layer_3,1.894049495458603,0.5533146113157272,0.3378250002861023
2,Single_Layer_4,1.8033769726753235,0.5604578107595444,0.31644999235868454
3,Single_Layer_5,1.7460476160049438,0.5614800155162811,0.279449999332428
4,Single_Layer_6,1.8401938080787659,0.5639392584562302,0.19282499988548807
5,Double_Layer_2,1.3136298954486847,0.6679668128490448,0.468625009059906
6,Double_Layer_3,1.4285039007663727,0.6365878134965897,0.4786750078201294
7,Double_Layer_4,1.4582869112491608,0.6357192993164062,0.46332500129938126
8,Double_Layer_5,1.4913492798805237,0.6257638037204742,0.42397499829530716
9,Double_Layer_6,1.5467179119586945,0.6140159666538239,0.3911999985575676
